Sample,erythroblast-1,erythroblast-2,neutrophil-1,neutrophil-2,neutrophil-3,neutrophil-4,neutrophil-5,neutrophil-6,neutrophil-7,monocyte-1,monocyte-2,monocyte-3,naturalkillercell-1,naturalkillercell-2,cd4tcell-5,cd4tcell-6,cd4tcell-7,cd4tcell-8,cd8tcell-1,cd8tcell-2,bcell-1,bcell-2,bcell-3,BRCA-1,BRCA-2,BRCA-3,BRCA-4,BRCA-5,COAD-1,COAD-2,READ-1,READ-2,OV-1,OV-2,OV-3,CESC-4,CESC-1,CESC-2,CEAD-3,CEAD-1,Unknown-1,Unknown-2,Unknown-3,Unknown-4,Unknown-5,Unknown-6,Unknown-7,Unknown-8,Unknown-9,Unknown-10
Control-GRP-GC119399,3.017,3.524,1.921,1.125,1.527,5.449,0.476,7.161,5.513,3.904,4.588,1.670,1.570,1.921,2.174,5.370,1.178,4.953,0.051,4.141,1.439,1.365,1.986,0.152,0.286,0.507,0.763,0.408,0.143,0.056,0.035,0.013,0.730,2.120,3.237,0.973,1.405,2.161,0.419,0.976,3.412,0.968,2.541,1.556,2.898,1.363,2.118,1.821,0.301,2.617
Control-GRP-GC119400,1.344,2.777,2.285,6.859,2.430,8.214,4.939,2.672,2.317,2.442,1.263,3.145,1.050,1.465,2.846,3.033,3.169,2.588,2.907,0.176,1.467,0.520,1.647,0.728,0.915,0.923,0.278,0.200,0.287,0.074,0.163,0.067,0.371,1.524,2.287,0.898,2.968,2.071,2.635,1.836,0.903,0.910,3.254,3.122,3.347,2.023,2.430,0.912,1.367,1.950
Control-GRP-GC119401,4.096,0.123,2.687,3.725,2.632,3.587,4.597,1.880,2.636,1.674,2.507,3.073,1.390,1.761,5.896,4.352,3.361,4.671,0.974,1.434,0.991,1.336,2.638,0.375,0.375,0.839,0.265,0.060,0.063,0.018,0.106,0.107,3.265,2.623,3.135,2.760,2.190,1.820,0.314,1.687,1.633,3.759,2.493,1.207,2.917,0.557,1.032,2.922,1.334,0.125
Control-GRP-GC119402,1.442,0.340,5.355,1.103,4.866,4.482,0.393,4.256,2.449,3.086,4.162,2.035,1.781,2.201,0.101,3.329,2.613,0.767,1.716,5.487,1.543,2.556,1.566,0.146,0.759,1.042,1.068,0.366,0.089,0.121,0.258,0.147,2.895,2.699,3.836,1.844,2.018,1.366,1.354,2.209,1.133,0.316,0.524,0.841,2.104,0.873,2.625,3.734,5.201,2.804
Control-GRP-GC119403,0.051,0.959,6.752,2.509,1.852,6.950,2.510,6.080,6.056,0.288,3.643,4.259,2.203,1.446,4.376,1.066,3.044,0.748,1.893,2.904,1.626,1.767,0.225,0.515,0.773,0.685,0.191,0.089,0.180,0.039,0.047,0.038,1.295,2.728,2.848,1.397,1.203,1.879,1.089,2.431,0.545,4.234,1.037,2.713,2.007,0.390,2.687,1.214,3.216,1.325
Control-GRP-GC119405,4.136,2.117,6.711,4.629,2.019,3.947,1.273,2.173,5.932,4.657,1.381,3.594,1.984,2.174,0.654,1.880,0.145,3.089,2.497,2.657,2.038,0.607,1.852,0.558,1.361,0.200,1.231,0.144,0.541,0.003,0.356,0.128,0.025,2.017,3.721,0.624,2.233,0.156,0.777,1.241,2.464,2.202,1.662,2.978,1.682,2.315,0.888,2.502,3.947,1.898
Control-GRP-GC119410,2.070,1.851,2.261,1.073,2.395,5.710,4.247,4.273,3.615,3.771,1.727,2.960,2.028,2.092,3.790,7.539,5.416,1.478,3.800,2.193,0.270,0.962,3.073,0.059,0.987,0.254,0.711,0.367,0.098,0.057,0.016,0.009,0.005,2.222,3.460,1.389,1.214,0.560,1.992,0.279,2.958,0.210,2.292,0.514,2.299,1.198,0.231,2.755,4.161,1.111
Control-GRP-GC119411,1.926,4.106,4.955,4.638,1.621,4.073,4.100,2.903,4.173,4.355,0.752,4.394,1.884,1.282,0.497,2.584,1.284,5.565,3.245,1.316,0.363,2.144,1.245,0.171,0.804,1.366,0.503,0.297,0.105,0.044,0.041,0.118,1.336,0.641,1.262,1.623,0.666,1.199,3.993,2.229,0.155,1.988,2.643,2.572,0.988,2.910,1.705,3.098,2.286,1.850
Control-GRP-GC119415,1.081,3.228,2.344,0.145,1.056,5.693,3.236,6.592,5.356,0.730,4.586,3.442,2.384,2.217,2.954,2.368,2.480,3.941,2.226,2.103,1.106,1.569,0.959,0.104,0.536,0.398,0.201,0.166,0.004,0.005,0.022,0.164,1.681,0.749,1.893,2.270,2.338,0.380,2.542,3.123,0.465,3.496,0.108,2.580,3.768,4.936,1.522,3.524,0.357,0.872
Control-GRP-GC119416,3.426,0.191,6.108,2.480,0.594,2.721,6.201,1.247,2.318,1.138,1.317,3.577,2.021,0.568,2.214,4.544,1.290,5.486,0.877,3.850,1.586,2.162,1.484,0.127,1.150,1.719,0.122,0.716,0.138,0.063,0.363,0.221,1.374,2.977,1.448,3.576,1.286,0.953,2.560,3.904,3.712,3.351,1.431,0.172,2.657,4.090,0.926,0.379,0.024,3.162
