Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Breast-GC110683	1.237665697475529E-4	0.23	colorectal cancer
Breast-GC110684	7.848950847451577E-5	0.32	ovarian cancer
Breast-GC110685	8.552567878430905E-5	0.28	ovarian cancer
Ovarian-GC110686	4.032131232243892E-5	0.22	ovarian cancer
Ovarian-GC114179	5.891437179714836E-5	0.23	ovarian cancer
Ovarian-GC114180	4.0729938397980783E-5	0.17	ovarian cancer
Ovarian-GC114181	1.0176094178304605E-4	0.36	breast cancer
Ovarian-GC114182	2.0203065834235395E-4	0.41	colorectal cancer
Ovarian-GC116977	8.492749928310337E-5	0.36	ovarian cancer
Ovarian-GC116979	1.1302229038050975E-4	0.36	ovarian cancer
Ovarian-GC116982	1.3332736206764535E-4	0.41	ovarian cancer
Ovarian-GC116990	7.738395259211043E-5	0.28	ovarian cancer
Ovarian-GC119363	1.2753650838144814E-4	0.36	ovarian cancer
Ovarian-GC119364	3.900312825462793E-5	0.22	ovarian cancer
Ovarian-GC119365	1.6362930296322188E-4	0.58	colorectal cancer
Ovarian-GC119366	1.0150913852791614E-4	0.36	breast cancer
Colorectal-GC121326	7.844236691335082E-5	0.32	ovarian cancer
Colorectal-GC121327	1.0031250953335463E-4	0.17	colorectal cancer
Colorectal-GC121328	9.108098555489653E-5	0.21	colorectal cancer
Colorectal-GC121329	3.059834737547061E-4	0.41	colorectal cancer
Colorectal-GC121330	1.3748936645654455E-4	0.58	breast cancer
Colorectal-GC1003994	5.296796041503506E-5	0.23	ovarian cancer
Colorectal-GC1003995	3.504288726180468E-4	0.41	colorectal cancer
Colorectal-GC1003996	7.042545032418997E-5	0.28	ovarian cancer
Colorectal-GC1003997	3.401751195805609E-5	0.17	ovarian cancer
Colorectal-GC1003998	7.347978634027532E-5	0.16	colorectal cancer
Colorectal-GC1003999	1.3020981994019362E-4	0.58	breast cancer
Colorectal-GC1004000	5.184382953689563E-4	0.6	colorectal cancer
Colorectal-GC1004001	5.0679101585627524E-5	0.21	ovarian cancer
Colorectal-GC1004002	5.329736983080357E-5	0.23	ovarian cancer
Colorectal-GC1004003	9.010037600570908E-5	0.41	ovarian cancer
Colorectal-GC137538	4.9031221240354736E-5	0.41	ovarian cancer
Colorectal-GC137539	5.7955376270608235E-5	0.23	ovarian cancer
Colorectal-GC137540	4.6667251204097724E-5	0.21	ovarian cancer
Colorectal-GC137541	8.022325277591222E-5	0.36	ovarian cancer
Colorectal-GC137542	2.68586175743305E-5	0.22	ovarian cancer
Colorectal-GC137543	1.3503049212786774E-4	0.21	colorectal cancer
Colorectal-GC137544	5.0858586312509184E-5	0.22	ovarian cancer
Colorectal-GC137545	3.698731593868459E-5	0.23	ovarian cancer
Colorectal-GC137546	4.463238484116267E-5	0.21	ovarian cancer
Colorectal-GC137547	5.6769468620527736E-5	0.23	ovarian cancer
Colorectal-GC137548	4.451874017853844E-5	0.2	ovarian cancer
Colorectal-GC137549	2.741335722524734E-4	0.41	colorectal cancer
Colorectal-GC137550	6.627715946713927E-5	0.28	ovarian cancer
Colorectal-GC137551	6.393462684046735E-5	0.27	ovarian cancer
Colorectal-GC137552	8.280058664264903E-5	0.4	ovarian cancer
Colorectal-GC137553	1.4715521827234513E-4	0.23	colorectal cancer
Colorectal-GC137554	1.3293212170809463E-4	0.23	colorectal cancer
Colorectal-GC137555	4.544865416430674E-5	0.22	ovarian cancer
Colorectal-GC137556	7.823764214737416E-5	0.23	ovarian cancer
Colorectal-GC137557	1.0814248268286373E-5	0.18	ovarian cancer
Cervical-GC1002983	1.2574384280959652E-4	0.4	ovarian cancer
Cervical-GC1002984	8.170528168958484E-5	0.23	ovarian cancer
Cervical-GC114187	1.2401562224652476E-4	0.41	ovarian cancer
Cervical-GC114188	7.997072441665655E-5	0.36	ovarian cancer
Control-GC1003986	4.427575642042566E-5	0.24	ovarian cancer
Control-GC1003988	5.3814404022191025E-5	0.23	ovarian cancer
Control-GC110675	4.05142467903825E-5	0.18	ovarian cancer
Control-GC112864	4.865663988587558E-5	0.3	ovarian cancer
Control-GC112894	1.6061268284085775E-4	0.23	colorectal cancer
Control-GC112895	1.1095767240488546E-4	0.21	colorectal cancer
Control-GC112897	9.325401618564596E-5	0.4	ovarian cancer
Control-GC119350	5.1534842143355334E-5	0.28	ovarian cancer
Control-GC119351	6.172244182593466E-5	0.23	ovarian cancer
Control-GC119352	6.621533294248364E-5	0.23	ovarian cancer
Control-GC119353	1.1400673526941028E-4	0.41	ovarian cancer
Control-GC119354	7.370313403078049E-5	0.28	ovarian cancer
Control-GC119356	5.8842545167524585E-5	0.22	ovarian cancer
Control-GRP-GC114128	5.15001918425872E-5	0.28	ovarian cancer
Control-GRP-GC114130	3.949612218238477E-5	0.15	ovarian cancer
Control-GRP-GC114131	6.691206428225187E-5	0.28	ovarian cancer
Control-GRP-GC114132	4.3856119312266855E-5	0.16	ovarian cancer
Control-GRP-GC114133	6.473477944142134E-5	0.28	ovarian cancer
Control-GRP-GC114134	3.6202734618188326E-5	0.21	ovarian cancer
Control-GRP-GC114136	4.9959595545559666E-5	0.22	ovarian cancer
Control-GRP-GC114137	2.477469667923716E-5	0.15	ovarian cancer
Control-GRP-GC114139	5.9414058743784926E-5	0.28	ovarian cancer
Control-GRP-GC114140	5.916596819718323E-5	0.3	ovarian cancer
Control-GRP-GC114141	5.3659859437914806E-5	0.23	ovarian cancer
Control-GRP-GC114142	4.567795736625691E-5	0.21	ovarian cancer
Control-GRP-GC114183	2.8243407592269937E-5	0.15	ovarian cancer
Control-GRP-GC114185	5.695237147494995E-5	0.26	ovarian cancer
Control-GRP-GC114186	5.967426419526718E-5	0.23	ovarian cancer
Control-GRP-GC118464	7.062308521544853E-5	0.23	ovarian cancer
Control-GRP-GC118466	5.972932636243445E-5	0.21	ovarian cancer
Control-GRP-GC118474	4.641320838671816E-5	0.21	breast cancer
Control-GRP-GC118476	4.96057917468339E-5	0.21	ovarian cancer
Control-GRP-GC118478	3.9580701524306416E-5	0.21	ovarian cancer
Control-GRP-GC118484	2.4087814990006656E-5	0.15	ovarian cancer
Control-GRP-GC118485	3.1098507633022856E-5	0.15	ovarian cancer
Control-GRP-GC118486	2.581259079368975E-5	0.01	colorectal cancer
Control-GRP-GC118489	3.98264017025753E-5	0.16	ovarian cancer
Control-GRP-GC118490	6.859497527265909E-5	0.23	ovarian cancer
Control-GRP-GC118491	4.988230919697348E-5	0.17	ovarian cancer
Control-GRP-GC118494	4.959160639905625E-5	0.17	ovarian cancer
Control-GRP-GC118496	2.949373132627195E-5	0.15	ovarian cancer
Control-GRP-GC118497	2.495203806791038E-5	0.01	colorectal cancer
Control-GRP-GC118499	4.478798532998242E-5	0.15	ovarian cancer
Control-GRP-GC119340	4.8507016859464476E-5	0.16	ovarian cancer
Control-GRP-GC119343	3.381463153888367E-5	0.16	ovarian cancer
Control-GRP-GC119367	5.137378740534199E-5	0.23	ovarian cancer
Control-GRP-GC119369	2.29244073475035E-5	0.01	colorectal cancer
Control-GRP-GC119370	3.393001629569861E-5	0.17	ovarian cancer
Control-GRP-GC119374	3.76916801292491E-5	0.15	ovarian cancer
Control-GRP-GC119375	7.858431945352695E-5	0.23	ovarian cancer
Control-GRP-GC119377	4.9263178542215455E-5	0.21	ovarian cancer
Control-GRP-GC119383	4.5148053138123454E-5	0.21	ovarian cancer
Control-GRP-GC119384	4.2553636961597417E-5	0.16	ovarian cancer
Control-GRP-GC119386	4.9547416404806725E-5	0.16	ovarian cancer
Control-GRP-GC119388	5.241855084561886E-5	0.22	ovarian cancer
Control-GRP-GC119389	2.9572626421564388E-5	0.08	ovarian cancer
Control-GRP-GC119390	5.735936144976998E-5	0.23	ovarian cancer
Control-GRP-GC119391	3.735980049668272E-5	0.17	ovarian cancer
Control-GRP-GC119394	3.266240009821898E-5	0.16	ovarian cancer
Control-GRP-GC119395	5.256504069613517E-5	0.23	ovarian cancer
Control-GRP-GC119397	4.824962928402939E-5	0.16	ovarian cancer
Control-GRP-GC119398	3.0987361208376814E-5	0.08	ovarian cancer
Control-GRP-GC119399	3.707030072962026E-5	0.15	ovarian cancer
Control-GRP-GC119400	4.800478430378592E-5	0.17	ovarian cancer
Control-GRP-GC119401	3.986303186652984E-5	0.16	ovarian cancer
Control-GRP-GC119402	6.326105540765443E-5	0.21	ovarian cancer
Control-GRP-GC119403	4.0470179694153414E-5	0.15	ovarian cancer
Control-GRP-GC119405	4.708428786406566E-5	0.21	ovarian cancer
Control-GRP-GC119410	2.6279326675836237E-5	0.01	colorectal cancer
Control-GRP-GC119411	4.0686697093490865E-5	0.17	ovarian cancer
Control-GRP-GC119415	2.925630701337484E-5	0.15	ovarian cancer
Control-GRP-GC119416	6.489350768249007E-5	0.22	ovarian cancer
Control-GRP-GC119417	4.037871998110761E-5	0.16	ovarian cancer
Control-GRP-GC119419	5.1339283536955556E-5	0.21	ovarian cancer
Control-GRP-GC119420	4.340554683443446E-5	0.16	ovarian cancer
Control-GRP-GC119421	6.648198008640482E-5	0.32	ovarian cancer
Control-GRP-GC119422	2.9553104342163758E-5	0.16	ovarian cancer
Control-GRP-GC119426	5.454435681608274E-5	0.22	ovarian cancer
Control-GRP-GC119430	5.343626059584959E-5	0.23	ovarian cancer
Control-GRP-GC121331	3.2687974005936615E-5	0.21	ovarian cancer
Control-GRP-GC121332	6.272608869535207E-5	0.27	ovarian cancer
Control-GRP-GC121336	1.8849740935463817E-5	0.15	ovarian cancer
Control-GRP-GC121337	3.648241884167255E-5	0.21	ovarian cancer
Control-GRP-GC121338	2.5680071552409168E-5	0.16	ovarian cancer
Control-GRP-GC121339	3.6097351351141625E-5	0.17	ovarian cancer
Control-GRP-GC121340	3.190835481887806E-5	0.16	ovarian cancer
Control-GRP-GC121341	4.571726764805E-5	0.23	ovarian cancer
Control-GRP-GC121342	5.6114728648027466E-5	0.21	ovarian cancer
Control-GRP-GC121343	4.858754720486287E-5	0.22	ovarian cancer
Control-GRP-GC121346	2.183869599354439E-5	0.01	colorectal cancer
Control-GRP-GC121347	4.8050406823425034E-5	0.23	breast cancer
Control-GRP-GC121348	2.9964559594499773E-5	0.17	ovarian cancer
Control-GRP-GC121349	2.5491607535852024E-5	0.01	colorectal cancer
gDNA-Breast-GC1002316	3.6881286744416564E-4	0.83	breast cancer
gDNA-Breast-GC1003962	2.4879569664711473E-4	0.99	breast cancer
gDNA-Breast-GC1003963	3.5342067246286373E-4	0.99	breast cancer
gDNA-Breast-GC1003965	3.746178341336947E-4	0.95	breast cancer
gDNA-Breast-GC1003966	3.863739353280374E-4	0.99	breast cancer
gDNA-Cervical-GC112877	0.0	0	normal
gDNA-Cervical-GC112878	3.657992956307451E-4	0.58	colorectal cancer
gDNA-Cervical-GC112880	1.958448122698151E-4	0.9	cervical cancer
gDNA-Cervical-GC112881	0.0	0	normal
gDNA-Cervical-GC112882	2.752961627703112E-4	0.82	cervical cancer
gDNA-Cervical-GC112883	8.333918007384669E-5	0.6	ovarian cancer
gDNA-Colorectal-GC112876	6.195554348932592E-4	0.8	colorectal cancer
gDNA-Colorectal-GC119345	4.370548315369429E-4	0.8	colorectal cancer
gDNA-Colorectal-GC119346	6.678821567567453E-4	0.73	colorectal cancer
gDNA-Colorectal-GC119347	7.40582539922748E-4	0.86	colorectal cancer
gDNA-Colorectal-GC119348	5.592544391775684E-4	0.58	colorectal cancer
gDNA-Colorectal-GC119349	4.628821388698523E-4	0.58	colorectal cancer
gDNA-Ovarian-GC112879	3.778859120607759E-4	0.58	colorectal cancer
gDNA-Ovarian-GC119433	3.380605634214432E-4	0.6	colorectal cancer
gDNA-Ovarian-GC119434	2.645709318018545E-4	0.41	colorectal cancer
gDNA-WBC-GC131344	2.6955194982967982E-5	0.13	ovarian cancer
gDNA-WBC-GC131345	5.330736652082388E-5	0.27	ovarian cancer
gDNA-WBC-GC131346	3.2532656325797285E-5	0.19	ovarian cancer
gDNA-WBC-GC131347	1.7300086420365178E-5	0.01	breast cancer
gDNA-WBC-GC131348	1.5721017832083003E-5	0.01	breast cancer
gDNA-WBC-GC131349	2.8058472946563546E-5	0.16	ovarian cancer
gDNA-WBC-GC131350	2.2927866223037488E-5	0.15	ovarian cancer
gDNA-WBC-GC131351	1.784589407652109E-5	0.01	colorectal cancer
gDNA-WBC-GC131352	1.7152111133120496E-5	0.01	colorectal cancer
gDNA-WBC-GC131353	1.8788404657779822E-5	0.18	ovarian cancer
gDNA-WBC-GC131354	4.115363042036459E-5	0.24	ovarian cancer
gDNA-WBC-GC131355	3.6963090520960226E-5	0.2	ovarian cancer
Br62_rep5_Dep6_Tu0.5	2.7821350942350284E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu3	3.153880384398891E-5	0.18	ovarian cancer
Br62_rep6_Dep6_Tu30	9.214052331586035E-5	0.42	breast cancer
Br62_rep7_Dep6_Tu20	7.109548713319684E-5	0.3	breast cancer
Br62_rep2_Dep6_Tu40	1.1525400724818903E-4	0.49	breast cancer
Br62_rep8_Dep6_Tu0.5	2.9159090502947967E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu2	2.7255796627732444E-5	0.18	ovarian cancer
Br62_rep4_Dep6_Tu50	1.273137973471465E-4	0.56	breast cancer
Br62_rep8_Dep6_Tu40	1.089767442527976E-4	0.47	breast cancer
Br62_rep7_Dep6_Tu2	2.686858611234129E-5	0.18	ovarian cancer
Br62_rep9_Dep6_Tu40	1.1119232220021714E-4	0.49	breast cancer
Br62_rep10_Dep6_Tu2	2.8605712706686404E-5	0.18	ovarian cancer
Br62_rep6_Dep6_Tu10	5.071172819283749E-5	0.22	breast cancer
Br62_rep2_Dep6_Tu2	2.7019140663813466E-5	0.18	ovarian cancer
Br62_rep9_Dep6_Tu5	2.9692660818339816E-5	0.17	breast cancer
Br62_rep6_Dep6_Tu40	1.094004089839892E-4	0.47	breast cancer
Br62_rep4_Dep6_Tu20	7.023045393638366E-5	0.3	breast cancer
Br62_rep9_Dep6_Tu1	2.6647816501049607E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu0.3	2.5351120939777292E-5	0.18	ovarian cancer
Br62_rep3_Dep6_Tu5	3.332395559596573E-5	0.2	ovarian cancer
Br62_rep9_Dep6_Tu50	1.1299802399088205E-4	0.49	breast cancer
Br62_rep5_Dep6_Tu30	8.685905300240372E-5	0.39	breast cancer
Br62_rep9_Dep6_Tu0.5	2.5892189149777467E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu20	7.260020525453084E-5	0.3	breast cancer
Br62_rep4_Dep6_Tu2	3.0793631615414086E-5	0.18	ovarian cancer
Br62_rep8_Dep6_Tu3	2.569237217821406E-5	0.18	ovarian cancer
Br62_rep2_Dep6_Tu5	3.0035225437542975E-5	0.17	breast cancer
Br62_rep2_Dep6_Tu1	2.283271910590978E-5	0.18	ovarian cancer
Br62_rep8_Dep6_Tu1	2.5882337674903356E-5	0.18	ovarian cancer
Br62_rep10_Dep6_Tu0.1	2.7584081582247806E-5	0.18	ovarian cancer
Br62_rep3_Dep6_Tu40	1.1226330809430267E-4	0.47	breast cancer
Br62_rep8_Dep6_Tu0.3	2.3900233354357672E-5	0.18	ovarian cancer
Br62_rep4_Dep6_Tu0.5	2.8298526526521655E-5	0.18	ovarian cancer
Br62_rep6_Dep6_Tu50	1.1337623287802906E-4	0.5	breast cancer
Br62_rep7_Dep6_Tu0.1	2.539575511949365E-5	0.18	ovarian cancer
Br62_rep9_Dep6_Tu30	1.0029701896264399E-4	0.42	breast cancer
Br62_rep6_Dep6_Tu20	6.991364515625139E-5	0.3	breast cancer
Br62_rep5_Dep6_Tu5	3.026382869513464E-5	0.17	breast cancer
Br62_rep4_Dep6_Tu40	1.0821081058975948E-4	0.56	breast cancer
Br62_rep8_Dep6_Tu0.1	2.6796759743983368E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu40	1.185101176322287E-4	0.43	breast cancer
Br62_rep3_Dep6_Tu30	9.695942956232486E-5	0.42	breast cancer
Br62_rep7_Dep6_Tu0.5	2.602448912293239E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu10	4.889648987706195E-5	0.22	breast cancer
Br62_rep10_Dep6_Tu20	7.978397166452268E-5	0.3	breast cancer
Br62_rep1_Dep6_Tu5	3.0464975137618584E-5	0.17	breast cancer
Br62_rep3_Dep6_Tu50	1.3560841012595209E-4	0.5	breast cancer
Br62_rep1_Dep6_Tu3	2.8217222967124708E-5	0.18	ovarian cancer
Br62_rep7_Dep6_Tu30	8.943952403107387E-5	0.39	breast cancer
Br62_rep6_Dep6_Tu1	2.91366183269689E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu0.5	2.7035670640023744E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu0.1	2.6798027098053957E-5	0.18	ovarian cancer
Br62_rep9_Dep6_Tu3	3.1537411560925605E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu40	1.0398069010115446E-4	0.49	breast cancer
Br62_rep10_Dep6_Tu3	2.390025218374579E-5	0.18	ovarian cancer
Br62_rep2_Dep6_Tu0.3	2.6076814126279994E-5	0.18	ovarian cancer
Br62_rep10_Dep6_Tu40	1.183062266330554E-4	0.47	breast cancer
Br62_rep3_Dep6_Tu2	2.9390811838268643E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu1	2.537466615218132E-5	0.18	ovarian cancer
Br62_rep4_Dep6_Tu1	2.8603851917200745E-5	0.18	ovarian cancer
Br62_rep10_Dep6_Tu0.5	3.018074945830491E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu20	7.572974952899641E-5	0.34	breast cancer
Br62_rep6_Dep6_Tu0.3	2.8130942801753083E-5	0.18	ovarian cancer
Br62_rep9_Dep6_Tu0.3	2.3076476901013994E-5	0.18	ovarian cancer
Br62_rep2_Dep6_Tu20	7.645223049426424E-5	0.3	breast cancer
Br62_rep6_Dep6_Tu0.5	2.80139844934035E-5	0.18	ovarian cancer
Br62_rep8_Dep6_Tu10	5.039091371149891E-5	0.22	breast cancer
Br62_rep2_Dep6_Tu0.1	2.827982145518025E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu10	4.322188977011818E-5	0.22	breast cancer
Br62_rep10_Dep6_Tu10	4.935456733129845E-5	0.22	breast cancer
Br62_rep4_Dep6_Tu10	4.7392482414836854E-5	0.22	breast cancer
Br62_rep3_Dep6_Tu0.1	2.5573060783433287E-5	0.18	ovarian cancer
Br62_rep2_Dep6_Tu50	1.2412083118306587E-4	0.52	breast cancer
Br62_rep9_Dep6_Tu10	4.498689857566951E-5	0.22	breast cancer
Br62_rep5_Dep6_Tu0.3	2.608084397706564E-5	0.18	ovarian cancer
Br62_rep8_Dep6_Tu50	1.1569667317480236E-4	0.49	breast cancer
Br62_rep4_Dep6_Tu0.3	2.447115498300581E-5	0.18	ovarian cancer
Br62_rep7_Dep6_Tu1	2.7046788843012052E-5	0.18	ovarian cancer
Br62_rep3_Dep6_Tu0.5	2.8600783348614125E-5	0.18	ovarian cancer
Br62_rep7_Dep6_Tu40	1.1297692165195324E-4	0.42	breast cancer
Br62_rep2_Dep6_Tu3	2.83234113972554E-5	0.18	ovarian cancer
Br62_rep2_Dep6_Tu0.5	2.4288013158996796E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu50	1.240683096379715E-4	0.52	breast cancer
Br62_rep3_Dep6_Tu3	3.0357832043108353E-5	0.18	ovarian cancer
Br62_rep7_Dep6_Tu3	3.085633302053707E-5	0.18	ovarian cancer
Br62_rep3_Dep6_Tu0.3	2.867526388847825E-5	0.18	ovarian cancer
Br62_rep8_Dep6_Tu30	1.0284448828932294E-4	0.42	breast cancer
Br62_rep4_Dep6_Tu30	8.661927109588992E-5	0.42	breast cancer
Br62_rep6_Dep6_Tu3	2.8821457536498296E-5	0.18	ovarian cancer
Br62_rep4_Dep6_Tu0.1	2.5206536396271854E-5	0.18	ovarian cancer
Br62_rep8_Dep6_Tu5	3.178505827132002E-5	0.2	ovarian cancer
Br62_rep10_Dep6_Tu50	1.245820282703258E-4	0.52	breast cancer
Br62_rep10_Dep6_Tu0.3	2.422317471687799E-5	0.15	ovarian cancer
Br62_rep3_Dep6_Tu20	6.895759537472794E-5	0.3	breast cancer
Br62_rep1_Dep6_Tu1	2.6953675297879103E-5	0.18	ovarian cancer
Br62_rep3_Dep6_Tu1	2.714275176346441E-5	0.18	ovarian cancer
Br62_rep9_Dep6_Tu2	2.7524521519056848E-5	0.18	ovarian cancer
Br62_rep7_Dep6_Tu50	1.432488752289426E-4	0.56	breast cancer
Br62_rep7_Dep6_Tu5	2.8874770136568238E-5	0.17	breast cancer
Br62_rep8_Dep6_Tu2	2.8284459513496036E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu0.1	2.570830616444882E-5	0.18	ovarian cancer
Br62_rep6_Dep6_Tu5	2.6302130124620507E-5	0.18	ovarian cancer
Br62_rep9_Dep6_Tu20	7.052412353245758E-5	0.3	breast cancer
Br62_rep2_Dep6_Tu30	8.980329810782795E-5	0.39	breast cancer
Br62_rep7_Dep6_Tu10	4.18254076336211E-5	0.22	breast cancer
Br62_rep6_Dep6_Tu0.1	2.5401199371227257E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu50	1.3251123051410683E-4	0.56	breast cancer
Br62_rep10_Dep6_Tu1	2.523153787147569E-5	0.18	ovarian cancer
Br62_rep1_Dep6_Tu30	9.711125934797295E-5	0.39	breast cancer
Br62_rep7_Dep6_Tu0.3	2.625700966753517E-5	0.18	ovarian cancer
Br62_rep2_Dep6_Tu10	4.1918768473200006E-5	0.22	breast cancer
Br62_rep9_Dep6_Tu0.1	2.4359689316610673E-5	0.18	ovarian cancer
Br62_rep3_Dep6_Tu10	4.6433603218758466E-5	0.22	breast cancer
Br62_rep4_Dep6_Tu5	2.8994614313745768E-5	0.17	breast cancer
Br62_rep8_Dep6_Tu20	7.499657602855024E-5	0.3	breast cancer
Br62_rep1_Dep6_Tu2	3.182094311115869E-5	0.18	ovarian cancer
Br62_rep10_Dep6_Tu5	3.470910817107736E-5	0.2	ovarian cancer
Br62_rep10_Dep6_Tu30	8.711452919329383E-5	0.39	breast cancer
Br62_rep6_Dep6_Tu2	2.8174421496445844E-5	0.18	ovarian cancer
Br62_rep4_Dep6_Tu3	2.957380054755327E-5	0.18	ovarian cancer
Br66_rep4_Dep6_Tu50	1.9495506394523883E-4	0.56	breast cancer
Br66_rep3_Dep6_Tu0.5	2.7366897878302618E-5	0.18	ovarian cancer
Br66_rep2_Dep6_Tu3	3.205463020472628E-5	0.18	ovarian cancer
Br66_rep6_Dep6_Tu40	1.6322574989824175E-4	0.49	breast cancer
Br66_rep9_Dep6_Tu0.1	2.3568316560588536E-5	0.18	ovarian cancer
Br66_rep9_Dep6_Tu5	3.802052021764002E-5	0.17	breast cancer
Br66_rep10_Dep6_Tu1	2.8587136609090162E-5	0.18	ovarian cancer
Br66_rep6_Dep6_Tu20	9.966683851993875E-5	0.3	breast cancer
Br66_rep10_Dep6_Tu30	1.2780111233930952E-4	0.43	breast cancer
Br66_rep10_Dep6_Tu5	3.573515685925977E-5	0.2	ovarian cancer
Br66_rep7_Dep6_Tu1	2.7056351650440713E-5	0.18	ovarian cancer
Br66_rep6_Dep6_Tu0.3	2.6793109836358778E-5	0.18	ovarian cancer
Br66_rep1_Dep6_Tu30	1.287922616296311E-4	0.42	breast cancer
Br66_rep3_Dep6_Tu1	2.5850426131013554E-5	0.18	ovarian cancer
Br66_rep3_Dep6_Tu30	1.35669198680939E-4	0.43	breast cancer
Br66_rep9_Dep6_Tu1	3.0204988568689878E-5	0.18	ovarian cancer
Br66_rep9_Dep6_Tu40	1.636099878424122E-4	0.49	breast cancer
Br66_rep5_Dep6_Tu1	2.8264636507673312E-5	0.18	ovarian cancer
Br66_rep2_Dep6_Tu5	3.691586846472613E-5	0.19	ovarian cancer
Br66_rep5_Dep6_Tu30	1.2534732697696904E-4	0.42	breast cancer
Br66_rep7_Dep6_Tu50	1.9842637045925477E-4	0.56	breast cancer
Br66_rep4_Dep6_Tu40	1.6194665857492896E-4	0.49	breast cancer
Br66_rep8_Dep6_Tu5	3.634409464227704E-5	0.2	ovarian cancer
Br66_rep9_Dep6_Tu2	3.091009406427889E-5	0.18	ovarian cancer
Br66_rep6_Dep6_Tu30	1.290819492521601E-4	0.43	breast cancer
Br66_rep4_Dep6_Tu0.1	2.5451901365542024E-5	0.18	ovarian cancer
Br66_rep5_Dep6_Tu10	5.464337468631133E-5	0.22	breast cancer
Br66_rep3_Dep6_Tu40	1.71572904469581E-4	0.49	breast cancer
Br66_rep9_Dep6_Tu0.5	2.5601126514609913E-5	0.15	ovarian cancer
Br66_rep8_Dep6_Tu2	2.9538557072197654E-5	0.18	ovarian cancer
Br66_rep10_Dep6_Tu2	2.974977307666438E-5	0.18	ovarian cancer
Br66_rep6_Dep6_Tu0.1	2.4940354974114293E-5	0.18	ovarian cancer
Br66_rep5_Dep6_Tu0.5	2.696965349500105E-5	0.18	ovarian cancer
Br66_rep2_Dep6_Tu20	9.651088468358908E-5	0.3	breast cancer
Br66_rep4_Dep6_Tu0.5	2.9540662738045827E-5	0.18	ovarian cancer
