Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Control-GRP-GC121341	5.1505757849117095E-5	0.21	ovarian cancer
Control-GRP-GC121342	6.845428585876925E-5	0.17	ovarian cancer
Control-GRP-GC121343	5.765704655350075E-5	0.21	ovarian cancer
Control-GRP-GC121346	2.077914590826835E-5	0.01	colorectal cancer
Control-GRP-GC121347	6.09766054256424E-5	0.21	breast cancer
Control-GRP-GC121348	3.2008122659816267E-5	0.15	ovarian cancer
Control-GRP-GC121349	2.604420989535677E-5	0.01	colorectal cancer
gDNA-Breast-GC1002316	4.996216794248361E-4	0.85	breast cancer
gDNA-Breast-GC1003962	3.414141339600299E-4	0.99	breast cancer
gDNA-Breast-GC1003963	4.8759754287509155E-4	0.99	breast cancer
gDNA-Breast-GC1003965	5.374373151964753E-4	0.99	breast cancer
gDNA-Breast-GC1003966	5.298936143509415E-4	0.99	breast cancer
gDNA-Cervical-GC112877	0.0	0	normal
gDNA-Cervical-GC112878	5.102987605740188E-4	0.5	colorectal cancer
gDNA-Cervical-GC112880	2.73512931694059E-4	0.9	cervical cancer
gDNA-Cervical-GC112881	0.0	0	normal
gDNA-Cervical-GC112882	3.751427972168494E-4	0.86	cervical cancer
gDNA-Cervical-GC112883	1.2779359566198945E-4	0.8	ovarian cancer
gDNA-Colorectal-GC112876	8.882146188329515E-4	0.8	colorectal cancer
gDNA-Colorectal-GC119345	6.015632858489408E-4	0.79	colorectal cancer
gDNA-Colorectal-GC119346	9.369474522445868E-4	0.73	colorectal cancer
gDNA-Colorectal-GC119347	0.0010360847572254892	0.86	colorectal cancer
gDNA-Colorectal-GC119348	7.73221374069393E-4	0.58	colorectal cancer
gDNA-Colorectal-GC119349	6.426786199835474E-4	0.5	colorectal cancer
gDNA-Ovarian-GC112879	5.223057021169679E-4	0.58	colorectal cancer
gDNA-Ovarian-GC119433	4.7861278884203976E-4	0.6	colorectal cancer
gDNA-Ovarian-GC119434	3.600787425687702E-4	0.41	colorectal cancer
gDNA-WBC-GC131344	3.143723294598768E-5	0.13	ovarian cancer
gDNA-WBC-GC131345	6.549825182594488E-5	0.1	colorectal cancer
gDNA-WBC-GC131346	3.795616219345058E-5	0.07	colorectal cancer
gDNA-WBC-GC131347	1.6618890384731547E-5	0.01	breast cancer
gDNA-WBC-GC131348	1.360606914237852E-5	0.01	breast cancer
gDNA-WBC-GC131349	2.9812293919803665E-5	0.15	ovarian cancer
gDNA-WBC-GC131350	2.3212309404387128E-5	0.05	colorectal cancer
gDNA-WBC-GC131351	1.6252234127529284E-5	0.01	colorectal cancer
gDNA-WBC-GC131352	1.5163133699505218E-5	0.01	colorectal cancer
gDNA-WBC-GC131353	2.6937472310704886E-5	0.08	colorectal cancer
gDNA-WBC-GC131354	4.835161757141221E-5	0.08	colorectal cancer
gDNA-WBC-GC131355	4.599244841817562E-5	0.2	ovarian cancer
Br62_rep5_Dep6_Tu0.5	2.951219990997025E-5	0.15	ovarian cancer
Br62_rep5_Dep6_Tu3	3.346661428451322E-5	0.18	ovarian cancer
Br62_rep6_Dep6_Tu30	1.1760115985033123E-4	0.41	breast cancer
Br62_rep7_Dep6_Tu20	9.002320488946416E-5	0.34	breast cancer
Br62_rep2_Dep6_Tu40	1.493928825013233E-4	0.49	breast cancer
Br62_rep8_Dep6_Tu0.5	3.225402638087608E-5	0.15	ovarian cancer
Br62_rep5_Dep6_Tu2	2.8940913926638887E-5	0.15	ovarian cancer
Br62_rep4_Dep6_Tu50	1.662920813360687E-4	0.56	breast cancer
Br62_rep8_Dep6_Tu40	1.4653291880824826E-4	0.49	breast cancer
Br62_rep7_Dep6_Tu2	2.8887101447945906E-5	0.15	ovarian cancer
Br62_rep9_Dep6_Tu40	1.4406437575646564E-4	0.49	breast cancer
